ID,N_VICTIMAS,FECHA,HORA,PARTICIPANTES,VICTIMA,ACUSADO
2016-0001,1,2016-01-01,04:00:00,MOTO-AUTO,0,0
2016-0002,1,2016-01-02,01:15:00,AUTO-PASAJEROS,1,1
2016-0003,1,2016-01-03,07:00:00,MOTO-AUTO,0,0
2016-0004,1,2016-01-10,00:00:00,MOTO-SD,0,2
2016-0005,1,2016-01-21,05:20:00,MOTO-PASAJEROS,0,1
2016-0008,1,2016-01-24,18:30:00,MOTO-OBJETO FIJO,0,3
2016-0009,1,2016-01-24,19:10:00,MOTO-AUTO,0,0
2016-0010,1,2016-01-29,15:20:00,MOTO-AUTO,0,0
2016-0012,1,2016-02-08,01:20:00,MOTO-CARGAS,0,4
2016-0013,1,2016-02-10,11:30:00,PEATON-AUTO,2,0
2016-0015,1,2016-02-14,05:14:00,PEATON-AUTO,2,0
2016-0016,1,2016-02-14,22:00:00,MOTO-AUTO,0,0
2016-0017,1,2016-02-15,16:54:00,PEATON-MOTO,2,5
2016-0019,1,2016-02-17,09:30:00,PEATON-PASAJEROS,2,1
2016-0020,1,2016-02-17,16:00:00,PEATON-AUTO,2,0
2016-0021,1,2016-02-17,23:35:00,AUTO-AUTO,1,0
2016-0022,1,2016-02-21,06:00:00,MOTO-AUTO,0,0
2016-0025,1,2016-02-28,04:50:00,AUTO-AUTO,1,0
2016-0026,1,2016-02-28,07:30:00,AUTO-OBJETO FIJO,1,3
2016-0027,1,2016-02-28,09:35:00,AUTO-AUTO,1,0
2016-0028,1,2016-03-02,10:00:00,PEATON-CARGAS,2,4
2016-0029,1,2016-03-04,17:30:00,PEATON-PASAJEROS,2,1
2016-0031,1,2016-03-08,12:30:00,MOTO-PASAJEROS,0,1
2016-0034,1,2016-03-12,12:30:00,PEATON-PASAJEROS,2,1
2016-0035,1,2016-03-13,06:00:00,MOTO-PASAJEROS,0,1
2016-0036,1,2016-03-14,00:15:00,MOTO-PASAJEROS,0,1
2016-0037,1,2016-03-19,11:00:00,MOTO-MOTO,0,5
2016-0038,1,2016-03-21,08:06:00,PEATON-PASAJEROS,2,1
2016-0039,1,2016-03-23,01:50:00,MOTO-PASAJEROS,0,1
2016-0041,2,2016-03-29,11:00:00,MOTO-CARGAS,0,4
2016-0043,1,2016-03-30,18:15:00,PEATON-CARGAS,2,4
2016-0044,1,2016-03-31,19:40:00,MULTIPLE,0,6
2016-0045,1,2016-04-11,10:25:00,MOTO-SD,0,2
2016-0047,1,2016-04-15,05:30:00,PEATON-PASAJEROS,2,1
2016-0048,1,2016-04-15,17:40:00,PEATON-PASAJEROS,2,1
2016-0049,1,2016-04-17,00:00:00,SD-SD,3,2
2016-0050,1,2016-04-19,09:50:00,PEATON-PASAJEROS,2,1
2016-0051,1,2016-04-20,04:00:00,MOTO-CARGAS,0,4
2016-0052,1,2016-04-20,20:00:00,MOTO-SD,0,2
2016-0053,1,2016-04-22,09:30:00,PEATON-PASAJEROS,2,1
2016-0054,1,2016-04-23,21:00:00,MOTO-MOTO,0,5
2016-0055,1,2016-04-25,20:30:00,PEATON-CARGAS,2,4
2016-0056,1,2016-04-26,04:45:00,MOTO-OBJETO FIJO,0,3
2016-0058,1,2016-05-04,14:00:00,PEATON-MOTO,2,5
2016-0059,1,2016-05-08,16:30:00,PEATON-PASAJEROS,2,1
2016-0064,1,2016-05-14,18:11:00,PEATON-PASAJEROS,2,1
2016-0065,1,2016-05-20,14:40:00,PEATON-AUTO,2,0
2016-0067,1,2016-05-21,17:00:00,MOTO-PASAJEROS,0,1
2016-0068,1,2016-05-22,22:00:00,MOTO-PASAJEROS,0,1
2016-0069,1,2016-05-23,03:30:00,AUTO-CARGAS,1,4
2016-0073,1,2016-06-11,15:00:00,MOTO-CARGAS,0,4
2016-0074,1,2016-06-12,06:40:00,AUTO-AUTO,1,0
2016-0075,1,2016-06-12,23:13:00,PEATON-AUTO,2,0
2016-0076,1,2016-06-13,16:20:00,PEATON-PASAJEROS,2,1
2016-0077,1,2016-06-13,21:52:00,PEATON-PASAJEROS,2,1
2016-0078,1,2016-06-13,23:01:00,MOTO-MOTO,0,5
2016-0079,1,2016-06-16,17:13:00,AUTO-AUTO,1,0
2016-0080,1,2016-06-18,06:42:00,AUTO-SD,1,2
2016-0081,1,2016-06-22,07:42:00,MOTO-AUTO,0,0
2016-0082,1,2016-06-27,18:24:00,PEATON-AUTO,2,0
2016-0083,1,2016-06-28,20:46:00,PEATON-MOTO,2,5
2016-0084,1,2016-06-29,22:00:00,PEATON-PASAJEROS,2,1
2016-0085,1,2016-06-29,22:00:00,MOTO-MOVIL,0,7
2016-0086,1,2016-06-30,16:10:00,PEATON-PASAJEROS,2,1
2016-0087,1,2016-07-02,00:10:00,MOTO-OBJETO FIJO,0,3
2016-0088,1,2016-07-11,15:30:00,PEATON-AUTO,2,0
2016-0089,1,2016-07-14,06:40:00,PEATON-AUTO,2,0
2016-0090,1,2016-07-14,22:00:00,PEATON-PASAJEROS,2,1
2016-0092,1,2016-07-15,11:00:00,MOTO-CARGAS,0,4
2016-0093,1,2016-07-17,03:30:00,AUTO-AUTO,1,0
2016-0095,1,2016-07-23,06:12:00,MOTO-AUTO,0,0
2016-0096,1,2016-07-25,07:00:00,MOTO-CARGAS,0,4
2016-0097,1,2016-07-26,18:45:00,PEATON-AUTO,2,0
2016-0098,1,2016-07-27,16:08:00,MOTO-CARGAS,0,4
2016-0099,1,2016-07-29,16:00:00,CARGAS-CARGAS,4,4
2016-0100,1,2016-08-03,23:27:00,MOTO-OBJETO FIJO,0,3
2016-0101,1,2016-08-07,19:42:00,SD-SD,3,2
2016-0102,1,2016-08-10,23:37:00,MOTO-CARGAS,0,4
2016-0104,1,2016-08-14,21:15:00,MOTO-PASAJEROS,0,1
2016-0105,1,2016-08-17,00:05:00,PEATON-PASAJEROS,2,1
2016-0106,1,2016-08-19,21:02:00,PEATON-PASAJEROS,2,1
2016-0107,1,2016-08-20,08:22:00,MOTO-AUTO,0,0
2016-0109,1,2016-08-24,05:45:00,AUTO-OBJETO FIJO,1,3
2016-0110,1,2016-08-24,20:21:00,PEATON-SD,2,2
2016-0111,1,2016-08-25,09:30:00,MOTO-CARGAS,0,4
2016-0112,1,2016-08-27,04:40:00,MOTO-OBJETO FIJO,0,3
2016-0113,1,2016-08-27,16:45:00,PEATON-PASAJEROS,2,1
2016-0114,1,2016-08-31,11:20:00,BICICLETA-CARGAS,5,4
2016-0115,1,2016-09-02,11:50:00,SD-CARGAS,3,4
2016-0116,1,2016-09-02,20:20:00,MOTO-AUTO,0,0
2016-0117,1,2016-09-03,15:30:00,AUTO-AUTO,1,0
2016-0118,1,2016-09-04,03:30:00,AUTO-AUTO,1,0
2016-0119,1,2016-09-04,06:40:00,SD-SD,3,2
2016-0122,1,2016-09-13,07:10:00,BICICLETA-PASAJEROS,5,1
2016-0123,1,2016-09-14,09:00:00,MOTO-AUTO,0,0
2016-0124,1,2016-09-16,15:24:00,PEATON-PASAJEROS,2,1
2016-0125,1,2016-09-17,12:14:00,MOTO-MOTO,0,5
2016-0126,2,2016-09-18,22:45:00,AUTO-CARGAS,1,4
2016-0127,1,2016-09-24,10:25:00,PEATON-PASAJEROS,2,1
2016-0128,1,2016-10-02,11:30:00,PEATON-PASAJEROS,2,1
2016-0130,1,2016-10-04,12:30:00,MOTO-CARGAS,0,4
2016-0131,1,2016-10-09,19:13:00,PEATON-AUTO,2,0
2016-0132,1,2016-10-10,02:30:00,AUTO-PASAJEROS,1,1
2016-0133,1,2016-10-14,00:05:00,MOTO-AUTO,0,0
2016-0134,1,2016-10-23,05:00:00,MOTO-OBJETO FIJO,0,3
2016-0135,1,2016-10-24,05:00:00,PEATON-SD,2,2
2016-0136,1,2016-10-25,00:00:00,MOTO-CARGAS,0,4
2016-0137,1,2016-10-25,00:39:00,MOTO-MOTO,0,5
2016-0138,1,2016-10-27,20:30:00,BICICLETA-CARGAS,5,4
2016-0139,1,2016-10-28,23:00:00,MOTO-MOTO,0,5
2016-0140,1,2016-10-31,02:58:00,PASAJEROS-PASAJEROS,6,1
2016-0142,1,2016-11-05,23:30:00,MOTO-PASAJEROS,0,1
2016-0143,1,2016-11-06,04:41:00,MOTO-SD,0,2
2016-0144,1,2016-11-07,12:10:00,PEATON-PASAJEROS,2,1
2016-0145,1,2016-11-07,20:56:00,MOTO-AUTO,0,0
